,"Przewozy pasażerskie/ Passenger transport
Udział przewoźników wg liczby pasażerów/ Share of RUs in terms of number of passengers",,
,,,
,,,
,,,
rok/ year,miesiąc/ month,Przewoźnicy/ Railway carriers,udział wg liczby pasażerów/ share by number of passengers
2013, styczeń-maj/ January-May,Warszawska Kolej Dojazdowa,2.59%
2013, styczeń-maj/ January-May,Koleje Wielkopolskie,1.95%
2013, styczeń-maj/ January-May,Arriva RP,0.93%
2013, styczeń-maj/ January-May,Koleje Dolnośląskie,0.67%
2013, styczeń-maj/ January-May,Pozostali/ Others,0.15%
2013, styczeń-czerwiec/ January-June,Polregio,32.59%
2013, styczeń-czerwiec/ January-June,Koleje Mazowieckie - KM,23.34%
2013, styczeń-czerwiec/ January-June,PKP Szybka Kolej Miejska w Trójmieście,13.02%
2013, styczeń-czerwiec/ January-June,PKP Intercity,11.30%
2013, styczeń-czerwiec/ January-June,Szybka Kolej Miejska - Warszawa,6.81%
2013, styczeń-czerwiec/ January-June,Koleje Śląskie,6.52%
2013, styczeń-czerwiec/ January-June,Warszawska Kolej Dojazdowa,2.63%
2013, styczeń-czerwiec/ January-June,Koleje Wielkopolskie,1.96%
2013, styczeń-czerwiec/ January-June,Arriva RP,0.93%
2013, styczeń-czerwiec/ January-June,Koleje Dolnośląskie,0.73%
2013, styczeń-czerwiec/ January-June,Pozostali/ Others,0.17%
2013, styczeń-lipiec/ January-July,Polregio,32.09%
2013, styczeń-lipiec/ January-July,Koleje Mazowieckie - KM,23.21%
2013, styczeń-lipiec/ January-July,PKP Szybka Kolej Miejska w Trójmieście,13.15%
2013, styczeń-lipiec/ January-July,PKP Intercity,11.56%
2013, styczeń-lipiec/ January-July,Szybka Kolej Miejska - Warszawa,7.21%
2013, styczeń-lipiec/ January-July,Koleje Śląskie,6.31%
2013, styczeń-lipiec/ January-July,Warszawska Kolej Dojazdowa,2.66%
2013, styczeń-lipiec/ January-July,Koleje Wielkopolskie,1.92%
2013, styczeń-lipiec/ January-July,Arriva RP,0.92%
2013, styczeń-lipiec/ January-July,Koleje Dolnośląskie,0.77%
2013, styczeń-lipiec/ January-July,Pozostali/ Others,0.19%
2013, styczeń-sierpień/ January-August,Polregio,31.85%
2013, styczeń-sierpień/ January-August,Koleje Mazowieckie - KM,23.11%
2013, styczeń-sierpień/ January-August,PKP Szybka Kolej Miejska w Trójmieście,13.14%
2013, styczeń-sierpień/ January-August,PKP Intercity,11.82%
2013, styczeń-sierpień/ January-August,Szybka Kolej Miejska - Warszawa,7.41%
2013, styczeń-sierpień/ January-August,Koleje Śląskie,6.16%
2013, styczeń-sierpień/ January-August,Warszawska Kolej Dojazdowa,2.69%
2013, styczeń-sierpień/ January-August,Koleje Wielkopolskie,1.91%
2013, styczeń-sierpień/ January-August,Arriva RP,0.91%
2013, styczeń-sierpień/ January-August,Koleje Dolnośląskie,0.80%
2013, styczeń-sierpień/ January-August,Pozostali/ Others,0.21%
2013, styczeń-wrzesień/ January-September,Polregio,31.75%
2013, styczeń-wrzesień/ January-September,Koleje Mazowieckie - KM,23.17%
2013, styczeń-wrzesień/ January-September,PKP Szybka Kolej Miejska w Trójmieście,13.12%
2013, styczeń-wrzesień/ January-September,PKP Intercity,11.69%
2013, styczeń-wrzesień/ January-September,Szybka Kolej Miejska - Warszawa,7.59%
2013, styczeń-wrzesień/ January-September,Koleje Śląskie,6.09%
2013, styczeń-wrzesień/ January-September,Warszawska Kolej Dojazdowa,2.70%
2013, styczeń-wrzesień/ January-September,Koleje Wielkopolskie,1.93%
2013, styczeń-wrzesień/ January-September,Arriva RP,0.91%
2013, styczeń-wrzesień/ January-September,Koleje Dolnośląskie,0.83%
2013, styczeń-wrzesień/ January-September,Pozostali/ Others,0.22%
2013, styczeń-październik/ January-October,Polregio,31.61%
2013, styczeń-październik/ January-October,Koleje Mazowieckie - KM,23.07%
2013, styczeń-październik/ January-October,PKP Szybka Kolej Miejska w Trójmieście,13.08%
2013, styczeń-październik/ January-October,PKP Intercity,11.55%
2013, styczeń-październik/ January-October,Szybka Kolej Miejska - Warszawa,7.94%
2013, styczeń-październik/ January-October,Koleje Śląskie,6.08%
2013, styczeń-październik/ January-October,Warszawska Kolej Dojazdowa,2.72%
2013, styczeń-październik/ January-October,Koleje Wielkopolskie,1.96%
2013, styczeń-październik/ January-October,Arriva RP,0.91%
2013, styczeń-październik/ January-October,Koleje Dolnośląskie,0.86%
2013, styczeń-październik/ January-October,Pozostali/ Others,0.21%
2013, styczeń-listopad/ January-November,Polregio,31.54%
2013, styczeń-listopad/ January-November,Koleje Mazowieckie - KM,23.04%
2013, styczeń-listopad/ January-November,PKP Szybka Kolej Miejska w Trójmieście,13.08%
2013, styczeń-listopad/ January-November,PKP Intercity,11.45%
2013, styczeń-listopad/ January-November,Szybka Kolej Miejska - Warszawa,8.15%
2013, styczeń-listopad/ January-November,Koleje Śląskie,6.08%
2013, styczeń-listopad/ January-November,Warszawska Kolej Dojazdowa,2.71%
2013, styczeń-listopad/ January-November,Koleje Wielkopolskie,1.98%
2013, styczeń-listopad/ January-November,Arriva RP,0.91%
2013, styczeń-listopad/ January-November,Koleje Dolnośląskie,0.88%
2013, styczeń-listopad/ January-November,Pozostali/ Others,0.20%
2013, styczeń-grudzień/ January-December,Polregio,31.39%
2013, styczeń-grudzień/ January-December,Koleje Mazowieckie - KM,23.09%
2013, styczeń-grudzień/ January-December,PKP Szybka Kolej Miejska w Trójmieście,13.02%
2013, styczeń-grudzień/ January-December,PKP Intercity,11.36%
2013, styczeń-grudzień/ January-December,Szybka Kolej Miejska - Warszawa,8.35%
2013, styczeń-grudzień/ January-December,Koleje Śląskie,6.04%
2013, styczeń-grudzień/ January-December,Warszawska Kolej Dojazdowa,2.74%
