Województwo;Rok;Zmienna;Wartoœæ
kujawsko-pomorskie;2015;Moc osi¹galna elektryczna: ogó³em (MW);1377,875
kujawsko-pomorskie;2015;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);968,58
kujawsko-pomorskie;2015;Produkcja energii elektrycznej: ogó³em (GWh);3758,679
kujawsko-pomorskie;2015;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";2558,21
kujawsko-pomorskie;2016;Moc zainstalowana elektryczna: ogó³em (MW);1544,827
kujawsko-pomorskie;2016;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);1029,73
kujawsko-pomorskie;2016;Moc osi¹galna elektryczna: ogó³em (MW);1411,217
kujawsko-pomorskie;2016;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);994,42
kujawsko-pomorskie;2016;Produkcja energii elektrycznej: ogó³em (GWh);5261,490632
kujawsko-pomorskie;2016;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";3090,73
kujawsko-pomorskie;2017;Moc zainstalowana elektryczna: ogó³em (MW);2132,881133
kujawsko-pomorskie;2017;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);1040,81
kujawsko-pomorskie;2017;Moc osi¹galna elektryczna: ogó³em (MW);1983,257
kujawsko-pomorskie;2017;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);1004,53
kujawsko-pomorskie;2017;Produkcja energii elektrycznej: ogó³em (GWh);7203,00068
kujawsko-pomorskie;2017;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";3699,69
kujawsko-pomorskie;2018;Moc zainstalowana elektryczna: ogó³em (MW);2078,684
kujawsko-pomorskie;2018;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);1048,94
kujawsko-pomorskie;2018;Moc osi¹galna elektryczna: ogó³em (MW);1975,384
kujawsko-pomorskie;2018;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);1012,59
kujawsko-pomorskie;2018;Produkcja energii elektrycznej: ogó³em (GWh);6798,79086
kujawsko-pomorskie;2018;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";3311,23
kujawsko-pomorskie;2019;Moc zainstalowana elektryczna: ogó³em (MW);2139,878
kujawsko-pomorskie;2019;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);1109,78
kujawsko-pomorskie;2019;Moc osi¹galna elektryczna: ogó³em (MW);2040,264
kujawsko-pomorskie;2019;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);1074,17
kujawsko-pomorskie;2019;Produkcja energii elektrycznej: ogó³em (GWh);7739,765162
kujawsko-pomorskie;2019;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";3520,75
kujawsko-pomorskie;2020;Moc zainstalowana elektryczna: ogó³em (MW);2282,543
kujawsko-pomorskie;2020;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);1249,43
kujawsko-pomorskie;2020;Moc osi¹galna elektryczna: ogó³em (MW);2179,563
kujawsko-pomorskie;2020;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);1211,45
kujawsko-pomorskie;2020;Produkcja energii elektrycznej: ogó³em (GWh);8135,390373
kujawsko-pomorskie;2020;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";3694,01
kujawsko-pomorskie;2021;Moc zainstalowana elektryczna: ogó³em (MW);2535,169
kujawsko-pomorskie;2021;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);1498,491
kujawsko-pomorskie;2021;Moc osi¹galna elektryczna: ogó³em (MW);2450,948
kujawsko-pomorskie;2021;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);1479,17
kujawsko-pomorskie;2021;Produkcja energii elektrycznej: ogó³em (GWh);8147,24987
kujawsko-pomorskie;2021;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";3795,55912
Kujawsko-Pomorskie;2022;Moc zainstalowana elektryczna: ogó³em (MW);2900,3898
Kujawsko-Pomorskie;2022;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);1831,701
Kujawsko-Pomorskie;2022;Moc osi¹galna elektryczna: ogó³em (MW);2820,9908
Kujawsko-Pomorskie;2022;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);1818,702
Kujawsko-Pomorskie;2022;Produkcja energii elektrycznej: ogó³em (GWh);7168,402856
Kujawsko-Pomorskie;2022;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";3912,610362
Kujawsko-Pomorskie;2023;Moc zainstalowana elektryczna: ogó³em (MW);3271,992
Kujawsko-Pomorskie;2023;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);2200,768
Kujawsko-Pomorskie;2023;Moc osi¹galna elektryczna: ogó³em (MW);3182,41
Kujawsko-Pomorskie;2023;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);2177,386
Kujawsko-Pomorskie;2023;Produkcja energii elektrycznej: ogó³em (GWh);8390,260326
Kujawsko-Pomorskie;2023;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";4442,803504
lubelskie;2015;Moc zainstalowana elektryczna: ogó³em (MW);480,038
lubelskie;2015;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);50,24
lubelskie;2015;Moc osi¹galna elektryczna: ogó³em (MW);452,378
lubelskie;2015;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);49,98
lubelskie;2015;Produkcja energii elektrycznej: ogó³em (GWh);1802,9972
lubelskie;2015;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";95,19
lubelskie;2016;Moc zainstalowana elektryczna: ogó³em (MW);587,931
lubelskie;2016;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);188,13
lubelskie;2016;Moc osi¹galna elektryczna: ogó³em (MW);558,579
lubelskie;2016;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);186,18
